Name,Area
"""#Botsu""",JP
"""Charro"" Avitia",Latin
"""El Cholo"" Valderrama",Latin
"""Rumbahiana""",Latin
"""Song Of The Native Land"" Ensemble",VN
#Bandasonoraelantillano,Latin
#GUN,KR
$HOR1 WINBOY,JP
$LUDGEHAMMER,KR
$ammy,KR
'Chino' Reyes,Latin
'Chiquito' Rodríguez,Latin
'Chiquitín' Borjas,Latin
'Fatiga',Latin
'Jorge Armas',Latin
'Lencho' Pedraza,Latin
'Pila' Curay,Latin
'Sudapisco',Latin
'Til Tuesday,USUK
'else,JP
(((sssurrounddd))),JP
(AQUA) 아쿠아,KR
(G)I-DLE,KR
(G)I-DLE ((여자)아이들),KR
(Korean) Shinhwa,KR
(LPG),KR
(SNSD),KR
(V)・∀・(V),JP
(izmenavremena),EU
(sic)boy,JP
(슈퍼주니어)Super Junior,KR
(여자)아이들,KR
(여자)아이들 [(G)I-DLE],KR
(원티드) WANTED,KR
*NSYNC,USUK
*Shinee*,KR
+(KR)ystal Eyes,KR
+44,USUK
+PLUS,JP
+SHE+,EU
+α/あるふぁきゅん。,JP
...And The Echo Falls,EU
...And You Will Know Us by the Trail of Dead,USUK
.38 Special,USUK
.BPM,JP
.hack,JP
.hack//G.U.,JP
.hack//Liminality - Bonus,JP
// Y E Λ R S //,JP
0.8秒と衝撃。,JP
001 Clamor,Latin
001 ClamorHADESMUSIC UNDERGROUND EL CLAMOR,Latin
00s (빵빵즈),KR
015B,KR
021,KR
04 Limited Sazabys,JP
051~_~_~Tieng gio xon xao,VN
070 Shake,USUK
072,JP
07th Expansion,JP
09 Pista 9,Latin
0do,KR
1%,KR
1.0.1,KR
10 Years,USUK
100 Años De Musica,Latin
100 Exitos Clàsicos de la Cumbia - http:,Latin
100%,KR
100% V,KR
100s,JP
1088,VN
10Minimal,JP
10X10 (텐텐),KR
10cc,USUK
10cm,KR
10x10,KR
11 Medical Sound,KR
112,USUK
11:11,KR
12 Stones,USUK
"12"" Ninjazz",Latin
135,JP
13th Floor Elevators,USUK
14U,KR
14U (원포유),KR
14th Generation Toilet Hanako-san,JP
16 Typh,VN
1640mP,JP
16DeadNiggas,KR
16FLIP,JP
16TONS,JP
18+ Band,VN
18scott,JP
1AM,KR
1CHU,KR
1Dee,VN
1NB,KR
1NB (원앤비),KR
1Punch,KR
1TEAM,KR
1THE9,KR
1TYM,KR
1TYM / Lexy,KR
1TYM 원타임,KR
1TYM[K],KR
1iL,KR
1inamillion,JP
1ps,KR
1sagain,KR
1set,KR
2 Chainz,USUK
2*Sweet,Latin
2-dimension,JP
2000 DAIHANMINGUK,KR
21,KR
21 Savage,USUK
21(투애니 원),KR
21CLOVER,KR
22-20s,USUK
22/7,JP
24 -Two Four-,JP
24EFFECTS,JP
24K,KR
24K+,KR
24kGoldn,USUK
24아워즈(24hours),KR
26時のマスカレイド,JP
2A2,Latin
2AM,KR
2AM (Asian Artist),KR
2B,VN;KR
2BiC,KR
2CHAIN,KR
2Cellos,USUK
2Eyes,KR
2Guys,KR
2Letter,KR
2NB,KR
2NE1,KR
2NE1 (투애니 원),KR
2NE1 (투애니원),KR
2NE1 (투에니원),KR
2NE1 vs. Britney Spears,KR
2NE1 vs. Lady GaGa,KR
2NE1 투애니원,KR
2NE1(Åõ¾Ö´Ï ¿ø),KR
2NE1(투애니원),KR
2NE1의,KR
2NISE,KR
2NYNE,KR
2PM,KR
2PM + Girls' Generation,KR
2PM+2AM 'Oneday',KR
2PM;  2AM,KR
2Pac,USUK
2U,JP
2YOON,KR
2YOON(포미닛 투윤),KR
2lepik Soul,KR
2mile,JP
2nd Funk-Tion,JP
2o Love to Sweet Bullet,JP
2shai,KR
2t,VN
2wind,KR
2wink,JP
3 Chongsa,KR
3 Doors Down,USUK
3 Inches of Blood,USUK
3 de Copas,Latin
3-2-1 Trio,Latin
3/4 Peace,Latin
30 Seconds to Mars,USUK
31   Vientos de Agosto,Latin
311,USUK
33 DC,Latin
33Insanity'sVertebra,JP
3470.mon,JP
35.7,JP
365 Daband,VN
365daband,VN;KR
38 Spesh,USUK
3BallMTY,Latin
3Bjunior,JP
3F=C,JP
3Peace☆Lovers,JP
3RACHA,KR
3T,USUK
3YE,KR
3d2,Latin
3eye,KR
3house,JP
3quarks,Latin
3rd Secret,USUK
3rd Wish,Latin
3年E組うた担,JP
3호선 버터플라이,KR
4 40,Latin
4 AM,KR;Latin
4 Minute (포미닛),KR
4 Minute 포미닛,KR
4 Non Blondes,USUK
4 bonjour's parties,JP
40,Latin
408,USUK
42 Dugg,USUK
43Endings,EU
44teru-k,JP
44teru-k remixed wa.,JP
44th music,JP
45 RPM,KR
45rpm,KR
49일 OST,KR
4CARAT,KR
4K,KR
4L,KR
4Men,KR
4Minute 포미닛,KR
4Minute포미닛,KR
4TEN,KR
4Tomorrow,KR
4arrows,Latin
4me,VN
4minute,KR
4minute [포미닛],KR
4minute(포미닛),KR
4na,JP
4some,KR
4x,KR
4시 21분,KR
5 Centimeters Per Second,JP
5 Dòng Kẻ,VN
5/4 Takepod,JP
5/4TAKEPOD,JP
50 Cent,JP;USUK
50kg,KR
50mang,KR
54 Nude Honeys,JP
54-71,JP
590s,VN
5A1K0,KR
5KAI,JP
5Live,KR
5Zic,KR
5dolls,KR
5exit,JP
5lack x Olive Oil,JP
5pb.,JP
5tion,KR
5urprise,KR
6 to 8,KR
6% is MINE (GIRLS),JP
62/19,Latin
633,JP
6LACK,USUK
6ix9ine,USUK
6th Degree,Latin
7 Jaws,JP
7 LOVE Minutes,KR
7.9.4.2,KR
702,USUK
72,JP
765 MILLIONSTARS,JP
777 (Triple Seven),KR
79,JP
7979,KR
7ORDER,JP
7UPPERCUTS,VN
7_7,JP
7dayz,KR
7princess,KR
7th Street Big Band,Latin
7years to midnight,JP
7공주,KR
8/pLanet!!,JP
80's when music rocked,Latin
800 Cherries,JP
809 (Ocho Cero Nueve),Latin
82MAJOR,KR
84LY,KR
88-Keys,USUK
88rising,USUK
8Eight (에이트),KR
8Eight(에이트),KR
8TURN,KR
8eight,KR
8otto,JP
8th Sin,EU
8x Band,VN
9.10000,KR
90 Millas,Latin
9001,KR
963,JP
99RadioService,JP
9MUSES,KR
9MUSES A,KR
9reat!,KR
9th Street,KR
9th Wonder,USUK
<Artista Desconhecido>,KR
<BPM>,Latin
?? ???,JP
???? (Girls Generation),KR
????? (Suga Shikao),KR
@onefive,JP
@onisirige,JP
A,USUK
A B Quintanilla III Presents Kumbia Kings,Latin
A Band Of Bitches,Latin
A Bit Grumpy,EU
A Boogie wit da Hoodie,USUK
A Bossa Elétrica,Latin
A Buena Vista,Latin
A Cosa,Latin
A Dong,VN
A Espetacular Charanga do França,Latin
A French Butler Called Smith,Latin
A Great Big World,USUK
A Love to Kill Ost,KR
A Man Called Adam Vs. Chris Coco,Latin
A Millionaire's First Love,KR
A Millionaire's First Love OST,KR
A Moment to Remember OST,KR
A Perfect Circle,USUK
A Pink,KR
A Qui Avec Gabriel,JP
A Silent Film,USUK
A Soulless Pain,JP
A Taste of Honey,USUK
A Thao,VN
A Thousand Horses,USUK
A Touch of Class,EU
A Tribe Called Quest,USUK
A Voz Do Morro,Latin
A Wilhelm Scream,USUK
A Winged Victory for the Sullen,USUK
A Wên,VN
A Year in Europe,EU
A lo cubano,Latin
A pink 초봄,KR
A punto cinco,Latin
A train to autumn,KR
A$AP Ferg,USUK
A$AP Mob,USUK
A$AP Rocky,USUK
A'ST1,KR
A*Teens,USUK
A-Daily,KR
A-Dean,KR
A-FATI,KR
A-Feel,KR
A-Force,KR
A-Gear,JP
A-JAX,KR
A-PRINCE,KR
A-RISE (綺羅ツバサ(CV.桜川めぐ)、統堂英玲奈(CV.松永真穂)、優木あんじゅ(CV.大橋歩夕)),JP
A-Real,KR
A-Thug,JP
A. B. Quintanilla III  y los Kumbia Kings,Latin
A. Calamaro y Coti,Latin
A. Flores,Latin
A. Ogiishi,JP
A.B. Junior,Latin
A.B. Quintanilla III Y Los Kumbia All Starz,Latin
A.B. Quintanilla Y Los Kumbia Kings,Latin
A.B.C-Z,JP
A.B.O.,KR
A.B.O.R.N NATION,Latin
A.C.E,KR
A.Cian,KR
A.De,KR
A.H.H.A,KR
A.KOR,KR
A.KOR BLACK,KR
A.Leean,KR
A.Mia,JP
A.N.JELL,KR
