title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
Russet,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Reactor,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
The Clear Blue Sky,Tsukasa Yatoki,JP,,https://open.spotify.com/track/1FnwLvtVWb7W8EAI7KlMmd,,,,,,,,,,,,,,,
Profound Link,Tsukasa Yatoki,JP,https://www.youtube.com/watch?v=Fvt1WxM578I,,,,,,,,,,,,,,,,
Only 2 Words,Tsukasa Yatoki,JP,https://www.youtube.com/watch?v=7E6bNA7Pc-U,,,,,,,,,,,,,,,,
In My Heart,Tsukasa Yatoki,JP,,https://open.spotify.com/track/5RGnNcwtb0G5dT55EWGHVA,,,,,,,,,,,,,,,
Color of Sorrow,Tsukasa Yatoki,JP,https://www.youtube.com/watch?v=zvH8rmBIay4,https://open.spotify.com/track/69uEkbmoNS4NhXXi6EcKKi,,8056.0,216.0,,,,,,,,,,,,
The Clear Blue Sky (Hiroshi Okubo Remix),Tsukasa Yatoki,JP,,https://open.spotify.com/track/1VnfDwc0L5ZEGFA3uyGY8f,,,,,,,,,,,,,,,
End of Daylight (Tsukasa Remix),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Trace,Tsukasa Yatoki,JP,,https://open.spotify.com/track/2Dj9aKyfKmKjwe5GnQKARD,,,,,,,,,,,,,,,
In My Heart (ESTi Remix),Tsukasa Yatoki,JP,,https://open.spotify.com/track/0qI0RfIn2BEsgnLp2LGgSx,,,,,,,,,,,,,,,
Apoptosis,Tsukasa Yatoki,JP,,https://open.spotify.com/track/1wFoxgEXpVYoAx5X5N5roO,,,,,,,,,,,,,,,
Tears in the Dark,Tsukasa Yatoki,JP,,https://open.spotify.com/track/4rc3mI7cXNBJKiBQnUxNh7,,,,,,,,,,,,,,,
Lights,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Kaze ni nosete,Tsukasa Yatoki,JP,,https://open.spotify.com/track/2fUnZBMpFx4PIUMz11514v,,,,,,,,,,,,,,,
Hyadain no Joujou Yuujou Trance Kaboom REMIX,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Tuioku,Tsukasa Yatoki,JP,,https://open.spotify.com/track/49dUMcDBmJQYJqPbB3u058,,,,,,,,,,,,,,,
Heaven's Race Guitar Style,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Blaze,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Constellations,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Out of Truth,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Theme of Prontera -ibis Style-,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
蓬莱の冠雪に何を思うか,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Necro Fantasia,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Genetic Code,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Labyrinth -Double Beat Mix-,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Out of Curiosity (Type3 the Spiral),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Etertica Graffiti,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Tranquilizer,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Music Of The Spheres,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Machine Ensemble,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Crystal Flow,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Atrocious,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
SPILL OVER COLORS,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Stream,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Overdrive Trajectories,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
BlackBlossoms,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Relation Again,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Buzzing Dissonace,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Starlight Vision,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Necrofantasia,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Dreamer's Dream UG Remix,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Be Nice'n Easy,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Eternal Rite (KLIK Remix Instrumental),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Eternal Rite (Instrumental),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Rose Of Sharon,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
The Clear Blue Sky - Hiroshi Okubo Remix,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
In My Heart - ESTi Remix,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
You're in ruins (Ancient Beat Mix),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Through the Tower -Knight of the Tower,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Starlight Vision (Off Vocal Version),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Phantom,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Precious,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Out of Curiosity Type03 the Spiral,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
FloweringNight,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Prayer,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
2-Step Closer,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Last regrets -Tsukasa Remix-,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Divine,Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
Tsukidoko houkou (Off Vocal),Tsukasa Yatoki,JP,,,,,,,,,,,,,,,,,
