Name,Area,Spotify_Name,Spotify_ID,Similarity_ratio
"""#Botsu""",JP,鱼是没有亡的魂,5UG7XEyEHM95oXqOI4iMxJ,0.0
"""Charro"" Avitia",Latin,"Francisco ""Charro"" Avitia",4avWq3MJ9MS6TiIHrnymok,75.0
"""El Cholo"" Valderrama",Latin,El Cholo Valderrama,0taESRpYzfroQMpOwxk0AB,95.0
"""Rumbahiana""",Latin,,,
"""Song Of The Native Land"" Ensemble",VN,,,
#Bandasonoraelantillano,Latin,,,
#GUN,KR,Gunna,2hlmm7s2ICUX0LVIhVFlZQ,22.0
$HOR1 WINBOY,JP,$HOR1 WINBOY,7fpTC19DbeQiC5QKI8cJRQ,100.0
$LUDGEHAMMER,KR,$ludgehammer,4h6MhcxvgtCqtlEXeuhZrK,8.0
$ammy,KR,Ammy Virk,2RlWC7XKizSOsZ8F3uGi59,43.0
'Chino' Reyes,Latin,"Jose ""Chino"" Carillo and Los Reyes de Albuquerque",6vutXgHACjZEFf32ksM2qV,35.0
'Chiquito' Rodríguez,Latin,Alberto Chiquito Rodríguez,5ruPfLdkCgMHZ3UrqwVvzT,78.0
'Chiquitín' Borjas,Latin,,,
'Fatiga',Latin,Gianluca Fatigati,3Zei4RyapXct2X2mZTjQRW,48.0
'Jorge Armas',Latin,jorge armas,523PKX3xaEzPrd2PPJWnJy,75.0
'Lencho' Pedraza,Latin,,,
'Pila' Curay,Latin,Carlos Pila Curay,1He9aMaYpzmPPpFb0aUL9s,69.0
'Sudapisco',Latin,,,
'Til Tuesday,USUK,'Til Tuesday,1L0y9srZMyh9XUnYGv37IP,100.0
'else,JP,Else,2tUUqZeqBYInHt3aDp3a1B,67.0
(((sssurrounddd))),JP,(((sssurrounddd))),6ifeAFv8w3BSPd6BYDqYgo,100.0
(AQUA) 아쿠아,KR,Aqua,6kBjAFKyd0he7LiA5GQ3Gz,14.0
(G)I-DLE,KR,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,100.0
(G)I-DLE ((여자)아이들),KR,(G)I-DLE,2AfmfGFbe0A0WsTYm0SDTx,62.0
(Korean) Shinhwa,KR,,,
(LPG),KR,LPGBeats,3qVDlVBciamJh8f23BX5gA,46.0
(SNSD),KR,SNSD,1wJKBN1MMmRGiTEjN44NWw,80.0
(V)・∀・(V),JP,Lil Uzi Vert,4O15NlyKLIASxsJ0PrXPfz,10.0
(izmenavremena),EU,,,
(sic)boy,JP,(sic)boy,19FI3bwyW062xAmEy3rzsk,100.0
(슈퍼주니어)Super Junior,KR,,,
(여자)아이들,KR,,,
(여자)아이들 [(G)I-DLE],KR,,,
(원티드) WANTED,KR,,,
*NSYNC,USUK,*NSYNC,6Ff53KvcvAj5U7Z1vojB5o,100.0
*Shinee*,KR,SHINee,2hRQKC0gqlZGPrmUKbcchR,43.0
+(KR)ystal Eyes,KR,,,
+44,USUK,44phantom,1vwwjIPFeYoRfAUCqqO6cZ,33.0
+PLUS,JP,Daryl Hall & John Oates,77tT1kLj6mCWtFNqiOmP9H,0.0
+SHE+,EU,Ed Sheeran,6eUKZXaKkcviH0Ku9w2n3V,13.0
+α/あるふぁきゅん。,JP,,,
...And The Echo Falls,EU,,,
...And You Will Know Us by the Trail of Dead,USUK,...And You Will Know Us by the Trail of Dead,6wBUn8gMP85n8dPu6LoUcF,100.0
.38 Special,USUK,38 Special,3zXw2Eh96iTT51pytzHdZi,95.0
.BPM,JP,BPMoore,7IZYQVOMyQi55ytXjYoXrP,55.0
.hack,JP,Marika Hackman,5DGJC3n9DS0Y9eY5ul9y0O,32.0
.hack//G.U.,JP,"D. Bajzek, W. Everest-Hackbrett & G. McCarthy",0AX4AM2wMI0cdNLmwIFkMk,21.0
.hack//Liminality - Bonus,JP,,,
// Y E Λ R S //,JP,,,
0.8秒と衝撃。,JP,0.8秒と衝撃。,7Ggb4NN2p55XEyaCZqxc21,100.0
001 Clamor,Latin,,,
001 ClamorHADESMUSIC UNDERGROUND EL CLAMOR,Latin,,,
00s (빵빵즈),KR,,,
015B,KR,015B,4uU7KfTjcjyKUGWSaTzLu7,100.0
021,KR,021kid,578d6XzxI0bCSi49dK0Qpx,67.0
04 Limited Sazabys,JP,04 Limited Sazabys,6Gem5Nh6gd9PCtWdzR7Odh,100.0
051~_~_~Tieng gio xon xao,VN,,,
070 Shake,USUK,070 Shake,12Zk1DFhCbHY6v3xep2ZjI,100.0
072,JP,Ali072,1uwKsFvZmFDMvZ8BOAf6P5,67.0
07th Expansion,JP,,,
09 Pista 9,Latin,,,
0do,KR,Lil Double 0,4uKEP0JYfpFtngWlgViewd,13.0
1%,KR,blink-182,6FBDaR13swtiWwGhX1WQsP,18.0
1.0.1,KR,"10,000 Maniacs",0MBIKH9DjtBkv8O3nS6szj,21.0
10 Years,USUK,10 Years,0REMf7H0VP6DwfZ9MbuWph,100.0
100 Años De Musica,Latin,,,
100 Exitos Clàsicos de la Cumbia - http:,Latin,,,
100%,KR,100 gecs,6PfSUFtkMVoDkx4MQkzOi3,50.0
100% V,KR,Moleca 100 Vergonha,4DqWJ6Bv46JRAo1VdU1zJv,40.0
100s,JP,Studio 100,73p8v0EANoubjPddzfzFIm,43.0
1088,VN,1088,1HVjIPYXzDFBSpnc0gQsE1,100.0
10Minimal,JP,,,
10X10 (텐텐),KR,10X10 (텐텐),4CJI9swRARGKBPI7iTy1YP,100.0
10cc,USUK,10cc,6i6WlGzQtXtz7GcC5H5st5,100.0
10cm,KR,10cm,6zn0ihyAApAYV51zpXxdEp,100.0
10x10,KR,Luca Brassi10x,33ngpBQcfq53FgLhpBDt8i,32.0
11 Medical Sound,KR,11 Medical Sound,16GAcTZXkH2mZXKlV1HUhR,100.0
112,USUK,112,7urq0VfqxEYEEiZUkebXT4,100.0
11:11,KR,112,7urq0VfqxEYEEiZUkebXT4,50.0
12 Stones,USUK,12 Stones,0DrXhci3WAyo0WJv1RBOG6,100.0
"12"" Ninjazz",Latin,"12"" Ninjazz",1vu3dbhljKZLRqxXQsTcAe,100.0
135,JP,jorj1357,4Hdu6WV1G7zlNAs22Uv9Qn,55.0
13th Floor Elevators,USUK,13th Floor Elevators,7xYxgSJaIf7yOFLmknYX38,100.0
14U,KR,UG14,3ex7QjQet951SxZJi7aUye,57.0
14U (원포유),KR,14U(원포유),1ceqzAv47q6YJWbmilUyWI,94.0
14th Generation Toilet Hanako-san,JP,14th Generation Toilet Hanako-san,7juNuwJzV3wztEp9MjymZt,100.0
16 Typh,VN,16 Typh,5U1dINFKjJlYNOSdMrHlRh,100.0
1640mP,JP,1640mP,46tOGxI4xbvH7nHFxbO8ij,100.0
16DeadNiggas,KR,,,
16FLIP,JP,16FLIP,5FDuoCFktB6LXQ73XCPFvT,100.0
16TONS,JP,16 Tons,5UtOJbbGvkzxAhDwAux1zw,46.0
18+ Band,VN,The Texas 1836 Band,4Z6NlI0JsuKZZuBhElovBX,52.0
18scott,JP,18scott,5nXbqfx9TdDW8rM0etcd33,100.0
1AM,KR,"""Joseph And The Amazing Technicolor Dreamcoat"" 1992 Canadian Cast",2PT695UML2m3qBDsamIcB3,3.0
1CHU,KR,Chuckyy_103,5IS3q1zYC5E9gtBZSlTfLn,13.0
1Dee,VN,Dee-1,5qEZVKHzNjB8k5tAT41Iox,67.0
1NB,KR,NBA2K15HOODMOMENTS,6OAePRUeAAIZ9EjYKklUou,19.0
1NB (원앤비),KR,1NB,4BO4WakDUylteBK2FfK5SF,50.0
1Punch,KR,TSF 1Punch,59tzvsn58J4LExRw8HC5TA,75.0
1TEAM,KR,Team 10,0c9SxmpndQLJkNXd2OBTIg,17.0
1THE9,KR,1THE9,6ZZafCTzyk1yjqEES63cMm,100.0
1TYM,KR,1TYM,0P8IEJrM7oUTK4WwdMKsvS,100.0
1TYM / Lexy,KR,,,
1TYM 원타임,KR,1TYM,0P8IEJrM7oUTK4WwdMKsvS,67.0
1TYM[K],KR,Kam TYm 1,7uDgaizLS7GNKa249gbEyJ,25.0
1iL,KR,ILY:1,3FvFhUWP00xtwBrHtby3v8,25.0
