title,artist,area,youtube_link,spotify_link,release_date,youtube_view_count,youtube_like_count,tag,duration,popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo
תרשום,Lielle,KR,,,,,,,,,,,,,,,,,
I Miss You,Lielle,KR,,,,,,,,,,,,,,,,,
צא לי מהנוף,Lielle,KR,,,,,,,,,,,,,,,,,
גורמט,Lielle,KR,,,,,,,,,,,,,,,,,
בוא נשכח הכל,Lielle,KR,,,,,,,,,,,,,,,,,
Snow Stardust,Lielle,KR,,,,,,,,,,,,,,,,,
ילדות עצובות,Lielle,KR,,,,,,,,,,,,,,,,,
Vanilla Mate,Lielle,KR,,,,,,,,,,,,,,,,,
הולכת לאיבוד,Lielle,KR,,,,,,,,,,,,,,,,,
שיר ערש,Lielle,KR,,,,,,,,,,,,,,,,,
יום רודף יום,Lielle,KR,,,,,,,,,,,,,,,,,
כל הכוכבים על המסך,Lielle,KR,,,,,,,,,,,,,,,,,
Need You 99% (테일즈샵 '데드엔드 99%' ED),Lielle,KR,,,,,,,,,,,,,,,,,
Need You 99%,Lielle,KR,,,,,,,,,,,,,,,,,
אין לך אלוהים,Lielle,KR,,,,,,,,,,,,,,,,,
אני רוקדת,Lielle,KR,,,,,,,,,,,,,,,,,
מחכה לי,Lielle,KR,,,,,,,,,,,,,,,,,
Snow Stardust (Feat.Lielle),Lielle,KR,,,,,,,,,,,,,,,,,
Vanilla Mate (오투잼U Original Soundtrack),Lielle,KR,,,,,,,,,,,,,,,,,
オマジナイ,Lielle,KR,,,,,,,,,,,,,,,,,
Vanilla Mate - Lielle - Dreaming Up!,Lielle,KR,,,,,,,,,,,,,,,,,
לב,Lielle,KR,,,,,,,,,,,,,,,,,
קח אותי לים,Lielle,KR,,,,,,,,,,,,,,,,,
Need You 99% (데드엔드 99% ED),Lielle,KR,,,,,,,,,,,,,,,,,
Need You 99% - Lielle - Dreaming Up!,Lielle,KR,,,,,,,,,,,,,,,,,
indian song,Lielle,KR,,,,,,,,,,,,,,,,,
sometimes,Lielle,KR,,,,,,,,,,,,,,,,,
Love Me,Life Ball,JP,,,,,,,,,,,,,,,,,
Tree Song,Life Ball,JP,,,,,,,,,,,,,,,,,
Because I Love It,Life Ball,JP,https://www.youtube.com/watch?v=VTo9YaBBQ2A,,,77505,595,,,,,,,,,,,,
No One Can Be Right,Life Ball,JP,,,,,,,,,,,,,,,,,
